"COD_CURSO","COD_DISCIPLINA","TIPO","DISCIPLINA","CREDITOS","COD_SETOR","SEMESTRE_IDEAL"
14102100,1105237,"Optativa","PERCEPCAO DA FORMA",4,"11050000",
14102100,1108089,"Obrigatoria","FUNDAMENTOS DE FÍSICA CLÁSSICA",4,"11080000",2
14102100,1108090,"Obrigatoria","FUNDAMENTOS DE FÍSICA MODERNA",4,"11080000",3
14102100,1109035,"Obrigatoria","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA",4,"11090000",1
14102100,1109049,"Obrigatoria","ALGEBRA LINEAR I",4,"11090000",3
14102100,1109053,"Obrigatoria","CALCULO DIFERENCIAL E INTEGRAL II",4,"11090000",2
14102100,1109103,"Obrigatoria","CALCULO DIFERENCIAL E INTEGRAL I",4,"11090000",1
14102100,1109105,"Optativa","CALCULO DIFERENCIAL E INTEGRAL III",5,"11090000",
14102100,1109106,"Optativa","EQUACOES DIFERENCIAIS",4,"11090000",
14102100,1109113,"Obrigatoria","MATEMÁTICA DISCRETA",4,"11090000",2
14102100,1112083,"Optativa","TEORIA E PRÁTICA DA COR (SDI)",4,"11120000",
14102100,1112098,"Optativa","CRIATIVIDADE (SDI)",4,"11120000",
14102100,1112202,"Optativa","PERCEPCAO DA FORMA",0,"11120000",
14102100,1112203,"Optativa","ERGONOMIA",4,"11120000",
14102100,1114107,"Obrigatoria","PROBABILIDADE E ESTATÍSTICA",4,"11140000",3
14102100,1114114,"Obrigatoria","METODOS ESTATISTICOS",4,"11140000",4
14102100,1301014,"Optativa","ADMINISTRAÇÃO",4,"13010000",
14102100,1301055,"Optativa","MATEMÁTICA FINANCEIRA",4,"13010000",
14102100,1301061,"Optativa","PROCESSO DECISORIO",4,"13010000",
14102100,1301078,"Optativa","GESTAO DA QUALIDADE",4,"13010000",
14102100,1301091,"Optativa","FUNDAMENTOS DE CONTABILIDADE E ORÇAMENTO",4,"13010000",
14102100,1302123,"Optativa","COMPUTAÇÃO E MÚSICA",4,"13020000",
14102100,1303021,"Optativa","ECONOMIA",4,"13030000",
14102100,1304010,"Optativa","GINASTICA - MASC",2,"13040000",
14102100,1304012,"Optativa","VOLEIBOL - MASC/FEM",2,"13040000",
14102100,1304013,"Optativa","BASQUETEBOL - MASC",2,"13040000",
14102100,1304015,"Optativa","INTRODUÇÃO À PSICOLOGIA",4,"13040000",
14102100,1304024,"Optativa","VOLEIBOL - MAS/FEM",2,"13040000",
14102100,1304025,"Optativa","BASQUETEBOL - FEM",2,"13040000",
14102100,1304055,"Optativa","FUTSAL",2,"13040000",
14102100,1304062,"Optativa","PRÁTICA DESPORTIVA",2,"13040000",
14102100,1304122,"Optativa","BASQUETE   MASC/FEM",2,"13040000",
14102100,1304123,"Optativa","FUTSAL - FEM",2,"13040000",
14102100,1304163,"Optativa","PSICOLOGIA DA APRENDIZAGEM",4,"13040000",
14102100,1305020,"Optativa","RELACOES HUMANAS",3,"13050000",
14102100,1305033,"Optativa","SOCIOLOGIA INDUSTRIAL I",3,"13050000",
14102100,1305166,"Optativa","ETICA",4,"13050000",
