"COD_CURSO","COD_DISCIPLINA","TIPO","DISCIPLINA","CREDITOS","COD_SETOR","SEMESTRE_IDEAL"
14102100,1108089,"Obrigatoria","FUNDAMENTOS DE FÍSICA CLÁSSICA",4,"11080000",2
14102100,1108090,"Obrigatoria","FUNDAMENTOS DE FÍSICA MODERNA",4,"11080000",3
14102100,1109035,"Obrigatoria","ALGEBRA VETORIAL E GEOMETRIA ANALÍTICA",4,"11090000",1
14102100,1109049,"Obrigatoria","ALGEBRA LINEAR I",4,"11090000",3
14102100,1109053,"Obrigatoria","CALCULO DIFERENCIAL E INTEGRAL II",4,"11090000",2
14102100,1109103,"Obrigatoria","CALCULO DIFERENCIAL E INTEGRAL I",4,"11090000",1
14102100,1109113,"Obrigatoria","MATEMÁTICA DISCRETA",4,"11090000",2
14102100,1114107,"Obrigatoria","PROBABILIDADE E ESTATÍSTICA",4,"11140000",3
14102100,1114114,"Obrigatoria","METODOS ESTATISTICOS",4,"11140000",4
14102100,1307151,"Obrigatoria","LEITURA E PRODUCAO DE TEXTOS",4,"13070000",1
14102100,1411167,"Obrigatoria","PROGRAMAÇÃO I",4,"14110000",1
14102100,1411168,"Obrigatoria","PROGRAMAÇÃO II",4,"14110000",2
14102100,1411169,"Obrigatoria","PARADIGMAS DE LING. DE PROGRAMAÇÃO",2,"14110000",4
14102100,1411170,"Obrigatoria","TEORIA DOS GRAFOS",2,"14110000",2
14102100,1411171,"Obrigatoria","TEORIA DA COMPUTAÇÃO",4,"14110000",3
14102100,1411172,"Obrigatoria","ESTRUTURA DE DADOS E ALGORITMOS",4,"14110000",3
14102100,1411173,"Obrigatoria","LÓGICA MATEMÁTICA",4,"14110000",4
14102100,1411174,"Obrigatoria","INTRODUÇÃO A COMPUTAÇÃO",4,"14110000",1
14102100,1411175,"Obrigatoria","ORG.E ARQUITETURA DE COMPUTADORES I",4,"14110000",4
14102100,1411176,"Obrigatoria","GERÊNCIA DA INFORMAÇÃO",4,"14110000",3
14102100,1411177,"Obrigatoria","ENGENHARIA DE SOFTWARE I",4,"14110000",4
14102100,1411178,"Obrigatoria","SISTEMAS DE INFORMAÇÃO I",4,"14110000",4
14102100,1411179,"Obrigatoria","LAB.DE ESTRUTURA DE DADOS E ALGORITMOS",4,"14110000",3
14102100,1411180,"Obrigatoria","LABORATÓRIO DE PROGRAMAÇÃO I",4,"14110000",1
14102100,1411181,"Obrigatoria","LABORATÓRIO DE PROGRAMAÇÃO II",4,"14110000",2
14102100,1411182,"Obrigatoria","LAB.DE ORG.E ARQUITETURA DE COMPUTADORES",4,"14110000",4
14102100,1411183,"Obrigatoria","LABORATÓRIO DE ENGENHARIA DE SOFTWARE",2,"14110000",5
14102100,1411184,"Obrigatoria","LAB.DE INTERCON.DE REDES DE COMPUTADORES",2,"14110000",6
14102100,1411185,"Obrigatoria","PROJETO EM COMPUTAÇÃO I",4,"14110000",7
14102100,1411186,"Obrigatoria","PROJETO EM COMPUTAÇÃO II",6,"14110000",8
